name,lon_bd,lat_bd,,,
尚志牧场,127.842794,45.215528,,,
双城牧场,126.096516,45.566985,,,
乌兰牧场,123.282459,46.813011,,,
通辽牧场,121.963253,43.604511,,,
塞北牧场（一、二、三、四期）,115.816844,41.848844,,,
察北牧场,114.953852,41.41117,,,
恒盛牧场,114.855497,41.424635,,,
和林牧场,111.866431,40.597768,,,
托县牧场,111.496005,40.256836,,,
赛罕牧场,111.884553,40.700611,,,
新乐牧场,114.690532,38.349293,,,
衡水牧场,115.827185,37.750009,,,
汶上牧场,116.52949,35.795417,,,
商河牧场,117.258324,37.449774,,,
临沂牧场,118.617151,35.95782,,,
宿迁牧场,118.177814,33.423578,,,
蚌埠牧场,117.970125,33.105705,,,
马鞍山牧场,118.764925,31.650354,,,
合肥牧场,117.448561,32.096002,,,
宝鸡牧场,108.025097,34.222926,,,
吴忠牧场,106.279567,37.769103,,,
阜民丰牧场,105.10549,37.437471,,,
眉山牧场,103.75993,29.87168,,,
洪雅牧场,103.24871,29.841233,,,
云南牧场,103.704287,25.118429,,,
西藏牧场,90.755384,29.307433,,,
昌吉牧场,89.183222,44.003802,,,
澳源牧场,106.370817,37.809397,,,
圣牧高科第一牧场,106.40648,40.488414,,,
圣牧高科第二牧场,106.419368,40.438506,,,
圣牧高科技牧业公司第三牧场,111.289437,40.613707,,,
圣牧集团巴市牧业第五场,106.914647,40.533593,,,
圣牧高科第六牧场,111.114539,40.629645,,,
圣牧高科第七牧场,106.761288,40.553573,,,
圣牧高科第八牧场,106.424812,40.387651,,,
圣牧高科第九牧场(新泰),106.876316,40.109963,,,
圣牧高科第十牧场,111.534814,40.329451,,,
圣牧高科第十一牧场,111.550446,40.338819,,,
圣牧高科第十二牧场,106.474948,40.475855,,,
圣牧高科第十三牧场,106.435898,40.425182,,,
圣牧高科第十五牧场,111.168977,40.651194,,,
圣牧高科第十六牧场,106.484811,40.458561,,,
圣牧高科第十七牧场,106.439442,40.365112,,,
圣牧高科第十八牧场,106.666105,40.476888,,,
圣牧高科第二十牧场,106.732537,40.413453,,,
圣牧高科第二十一牧场,106.400641,40.396215,,,
圣牧高科第二十二牧场,106.436878,40.348037,,,
圣牧高科第二十三牧场,106.450279,40.321813,,,
圣牧高科第二十五牧场,106.475585,40.424988,,,
圣牧高科第二十七牧场,106.447447,40.341006,,,
众牛牧场,105.899161,37.868145,,,
翔达牧场,106.152648,38.375278,,,
信旺牧场,106.070787,38.669375,,,
牧源牧场,105.895685,37.812849,,,
俊佑牧场,106.062396,38.341432,,,
元邦牧场,106.80168,37.627171,,,
津浩牧场,117.012112,39.505685,,,
津澳牧场,117.183445,39.590935,,,
克东勇进牧场,126.207336,48.038101,,,
克东和平牧场,126.259122,47.994436,,,
拜泉牧场,126.094308,47.61349,,,
克东瑞信达牧场,126.415977,47.928775,,,
龙江瑞信诚牧场,123.17403,47.377238,,,
龙江金源牧场,123.239621,47.494093,,,
镇赉牧场,123.392887,45.936615,,,
甘南牧场,123.409052,47.841962,,,
克山牧场,125.650514,47.968042,,,
-,-,,,,
瑞兴牧场,103.605267,36.39441,,,
圣亚牧场,101.827915,36.507913,,,
瑞园牧场,103.217572,35.647118,,,
瑞达牧场,102.605431,37.907772,,,
多鲜牧业,108.972225,34.603186,,,
瑞嘉牧场,102.385518,38.520697,,,
榆中瑞丰牧场,104.208225,35.899175,,,
瑞安牧场,103.237022,35.675028,,,
平吉堡奶牛一分场,106.030205,38.453441,,,
平吉堡奶牛二分场,106.072645,38.44568,,,
平吉堡奶牛三分场,106.044505,38.425867,,,
平吉堡奶牛六分场,106.002766,38.402806,,,
连湖奶牛场,106.090328,38.155772,,,
茂盛牧场,106.065357,38.55681,,,
渠口牧场 ,105.883185,37.737831,,,
暖泉牧场,106.178076,38.797778,,,
简泉牧场,106.562164,39.113645,,,
白土岗奶牛场,106.396661,37.784718,,,
白土岗第二奶牛场,106.620634,37.776502,,,
灵武奶牛一场,106.323598,38.132809,,,
灵武奶牛三场,106.293261,38.141901,,,
